Pair,Average_Rating,[All_Ratings]
aardvark~aardwolf,2,[2]
aardwolf~bongo,1,[1]
alpaca~civet,2,[2]
antelope~coatimundi,5.7,[5.7]
bluebird~flicker,1.6,[1.6]
boa_constrictor~asp,7,[7]
camel~bactrian_camel,1,[1]
civet~cougar,3.1,[3.1]
civet~puma,2.5,[2.5]
coatimundi~deer,4.7,[4.7]
coyote~coatimundi,1,[1]
degu~duck,2.6,[2.6]
eagle~grebe,5.8,[5.8]
eland~baboon,1,[1]
eland~muskrat,1,[1]
elephant~capybara,1,[1]
elephant~gila_monster,1,[1]
felis_domesticus~plankton,1,[1]
gazelle~kudu,6,[6]
giraffe~mandrill,1.5,[1.5]
gray_diggers~squirrel,1.9,[1.9]
grebe~cormorant,4.7,[4.7]
gull~tern,7,[7]
hawk~kestrel,5.5,[5.5]
human~felis_domesticus,1.3,[1.3]
lion~jacana,1,[1]
mola_molas~dolphin,1,[1]
monkey~quetzal,1.6,[1.6]
mouse~degu,6.7,[6.7]
osprey~gray_diggers,1,[1]
parrotfish~wrasse,1,[1]
peccary~coyote,1.9,[1.9]
porcupine~echidna,4.6,[4.6]
raccoon~nutria,2.1,[2.1]
squirrel~nutria,1,[1]
tapir~hippopotamus,3.8,[3.8]
tiger~civet,5.5,[5.5]
tiger~tapir,1.9,[1.9]
turkey~chukar,6.1,[6.1]
vicuṉ̃a~alpaca,1,[1]
vicuṉ̃a~camel,5.2,[5.2]
wrasse~squid,3.5,[3.5]
zebra~bonobo,1,[1]
aardwolf~coyote,1.9,[2 1.8]
ape~gnu,1.05,[1 1.1]
bactrian_camel~crocodile,1,[1 1]
blue_goose~teal,5.3,[5.1 5.5]
bonobo~dolphin,2.15,[3 1.3]
bonobo~gorilla,2.95,[1.5 4.4]
burro~peccary,3.15,[1.8 4.5]
capybara~wombat,5.5,[6.1 4.9]
chimpanzee~capybara,1.8,[1 2.6]
crab~isopod,4.95,[2.9 7]
dromedary~burro,2.7,[3.4 2]
dromedary~elephant,1.2,[1.4 1]
dromedary~horse,6.05,[5.9 6.2]
echidna~platypus,1,[1 1]
elephant_seal~nutria,1,[1 1]
elephant~eland,1.35,[1 1.7]
elephant~sea_anemone,1,[1 1]
gibbon~liger,4.45,[3.3 5.6]
gnu~leopard,1,[1 1]
groundhog~lemming,3.4,[5.1 1.7]
guinea_hen~hamster,1,[1 1]
impala~jackal,2.35,[1 3.7]
junco~eagle,3.8,[4.6 3]
kangaroo~ocelot,2.4,[3.2 1.6]
kestrel~rabbit,1.45,[1.5 1.4]
kookaburra~worm,1,[1 1]
marmoset~koala,2.05,[3.1 1]
marmot~badger,3.55,[4.1 3]
nutria~cat,1.6,[2.2 1]
okapi~camel,1.25,[1.5 1]
osprey~otter,1,[1 1]
parrot~junco,3,[5 1]
parrot~kookaburra,5.1,[5.1 5.1]
platypus~vicuṉ̃a,1.05,[1 1.1]
porcupine~hydra,2.45,[2.8 2.1]
quetzal~gibbon,1.95,[1 2.9]
rat~ermine,2.2,[1.9 2.5]
rat~nutria,4.95,[3.9 6]
rhinoceros~gnu,2.25,[3.5 1]
salmon~smelt,3.75,[2 5.5]
sapsucker~falcon,2.9,[2.2 3.6]
sea_anemone~bass,1.1,[1.2 1]
shark~skate,3.05,[1 5.1]
teal~slug,1,[1 1]
tern~duck,4.05,[6.1 2]
varied_thrush~gull,5.55,[5 6.1]
vole~muskrat,6,[5 7]
wallaby~emu,3.45,[2.6 4.3]
walleye~sunfish,6.2,[5.7 6.7]
wapiti~elk,6.05,[5.1 7]
water_strider~katydid,3.55,[3.8 3.3]
wombat~slow_loris,3.4,[1.3 5.5]
woodpecker~sapsucker,6.25,[6.5 6]
aardvark~antelope,2.133,[2 1 3.4]
albatross~flamingo,2.467,[1.2 5 1.2]
amphipod~copepod,4.367,[1.6 4.8 6.7]
asp~worm,2.767,[6.3 1 1]
badger~marmoset,4.733,[5 4 5.2]
barracuda~parrot,1,[1 1 1]
bass~pumpkinseed,1,[1 1 1]
beetle~water_strider,1.7,[1 1.3 2.8]
bongo~chimpanzee,1.867,[2 1 2.6]
bonobo~human,5.1,[5.7 5.9 3.7]
bonobo~moth,1.8,[3.4 1 1]
bonobo~sloth,2.733,[4.3 2.9 1]
buffalo~gnu,4,[5 6 1]
burro~cow,3.067,[1.2 5 3]
calf~ewe,4.467,[4 5.6 3.8]
capuchin_monkey~gibbon,5,[5.5 5.4 4.1]
chickadee~hummingbird,5.533,[6.1 6 4.5]
clownfish~sea_anemone,1.433,[1 1.4 1.9]
coatimundi~beaver,2.067,[1 1.8 3.4]
copepod~jellyfish,4.233,[4.1 1.9 6.7]
coral~moose,1.267,[1 1 1.8]
cormorant~puffin,4.367,[4.1 3.6 5.4]
degu~chinchilla,3.5,[5.2 2.3 3]
donkey~ocelot,1,[1 1 1]
drake~hen,3.7,[6 3 2.1]
dromedary~fish,1,[1 1 1]
eland~elk,3.767,[2.3 3 6]
elephant~ocelot,1.9,[3.2 1 1.5]
fisher~porcupine,1.433,[1.2 2.1 1]
flamingo~kookaburra,3.2,[2.9 1.9 4.8]
flatworm~ear_mite,2.2,[4.4 1 1.2]
flicker~robin,4.867,[1.3 7 6.3]
foal~colt,4.9,[6.7 7 1]
gibbon~orangutan,6.6,[6 6.8 7]
gila_monster~guinea_pig,2.967,[2.2 4.1 2.6]
giraffe~roly_poly,1,[1 1 1]
gnu~antelope,3.533,[6 1 3.6]
gnu~deer,4.9,[5 4.7 5]
gnu~horse,2,[2 1 3]
goat~barracuda,1.3,[1.9 1 1]
guinea_worm~mosquito,2.1,[2.3 1.9 2.1]
hawk~osprey,5.9,[6 6.3 5.4]
horse~camel,3.333,[3.6 2 4.4]
hydra~giraffe,1.2,[1.3 1.3 1]
hyena~gnu,1.567,[1 2.7 1]
impala~kangaroo,3.167,[3 1.9 4.6]
kangaroo~wapiti,1.333,[1 2 1]
karakul~liger,1.9,[2.4 2.3 1]
katydid~grasshopper,6,[7 5 6]
liger~alien,1.533,[1 2.6 1]
mandrill~baboon,5,[7 7 1]
marsupial~kangaroo,6.567,[6.4 6.3 7]
marten~tiger,1.533,[2.3 1 1.3]
mountain_lion~ocelot,2.767,[1 1.2 6.1]
muskrat~mole,4.367,[2.4 6.2 4.5]
narwhal~porpoise,2.833,[1 1.3 6.2]
ocelot~camel,1,[1 1 1]
ocelot~monkey,2.333,[1 1 5]
orca~sea_anemone,1.5,[1.6 1.9 1]
panda~kiwi,1,[1 1 1]
pegasus~unicorn,6.233,[5.9 6.4 6.4]
penguin~meadowlark,2.633,[4.3 1 2.6]
pheasant~grouse,4.133,[5.5 5.9 1]
pig~tapir,5.733,[5 6 6.2]
platypus~wallaby,2.967,[2.8 5.1 1]
polar_bear~dromedary,1.5,[1.5 1 2]
polecat~bull,1.2,[1 1.6 1]
pony~pegasus,4.767,[6.4 4 3.9]
prairie_dog~bonobo,1.733,[1 3.2 1]
pumpkinseed~flounder,2.967,[1.3 6.6 1]
robin~drake,3.4,[2.7 1.9 5.6]
sable~seal,1,[1 1 1]
sea_anemone~ant,2.833,[1 1.7 5.8]
sea_elephant~puffin,2.6,[4.6 1 2.2]
sheep~chinchilla,1.667,[1 3 1]
skate~ray,4.167,[3 5.9 3.6]
snake~asp,5.333,[2 7 7]
squirrel~coney,2.933,[5.8 2 1]
squirrel~vole,2.633,[4 2.9 1]
sugar_glider~panda,1.333,[2 1 1]
vole~aardvark,1.967,[1.7 3 1.2]
wallaby~kookaburra,1.567,[1 2.7 1]
wildebeest~gazelle,2.667,[3.3 2.7 2]
zebra~eland,1.8,[1.4 1 3]
zebra~gnu,3.6,[3.4 5.1 2.3]
aardvark~bear,1.575,[2.1 2.2 1 1]
aardvark~kangaroo,2.575,[1 3.8 1.9 3.6]
aardvark~parrot,1.375,[1 1.4 2.1 1]
aardvark~rat,2.7,[4.8 2 3 1]
aardvark~sheep,2.8,[4.5 1 3.6 2.1]
african_wildcat~snake,1,[1 1 1 1]
albatross~hawk,4.575,[1.9 4 7 5.4]
amoeba~sea_anemone,2.075,[1 1 1.2 5.1]
anteater~hyena,2.025,[3 1 2 2.1]
anteater~koala,1.325,[2 1 1.3 1]
antelope~beaver,1.35,[2 1 1.4 1]
antelope~eland,6.025,[6 6 6.1 6]
antelope~hog,1.95,[1.9 2.5 2.4 1]
ass~rhinoceros,1.9,[1 1.8 3 1.8]
baboon~chimpanzee,6.025,[6.8 4.2 7 6.1]
baboon~prairie_dog,1.375,[2.5 1 1 1]
badger~beaver,4.7,[6.1 5.3 1.9 5.5]
bear~dinosaur,1.15,[1 1.2 1.4 1]
bearded_dragon~turtle,2.575,[1 4.5 1.9 2.9]
beaver~bobcat,1.95,[1 4.8 1 1]
bird~muskrat,1.8,[2.5 1 2.2 1.5]
blue_bird~cardinal,5.6,[3.2 7 6.1 6.1]
blue_whale~porpoise,4.425,[4.7 3 5.5 4.5]
bluebird~meadowlark,5.3,[1.7 6.5 6 7]
bluegill~scorpion,1.05,[1 1.2 1 1]
buck~cow,3.725,[1.8 5.2 3.3 4.6]
buffalo~jaguar,1.8,[1 2 3.2 1]
buffalo~squirrel,1.625,[1 1.9 2.6 1]
buffalo~yak,3.175,[2.8 5.5 1 3.4]
burro~horse,5.725,[5 6 4.9 7]
camel~burro,4.675,[5.5 2.7 6 4.5]
canada_goose~blue_goose,6,[5 7 7 5]
capybara~dog,2.225,[2 3 2 1.9]
cardinal~bluebird,6.35,[5.9 5.5 7 7]
cardinal~robin,5.275,[1 7 6.5 6.6]
caribou~polar_bear,1.225,[1 1 1.9 1]
caribou~snake,1,[1 1 1 1]
cat~burro,1.95,[1.6 1.3 3 1.9]
centipede~caterpillar,4.075,[5.4 3.5 6.3 1.1]
chimpanzee~bonobo,6.025,[6.2 6.5 7 4.4]
chimpanzee~gibbon,2.525,[2.3 2.3 1 4.5]
chinchilla~bunny,4.65,[3.7 6 1.9 7]
chinchilla~ferret,5.275,[3.8 4.8 6 6.5]
chinchilla~mouse,4.1,[5.9 5.9 1 3.6]
chipmunk~lemur,2.65,[5.4 1 1.6 2.6]
colt~lion,3.075,[3.3 3.1 4.9 1]
copperhead_snake~water_moccasin,6,[5.8 6.4 7 4.8]
coral~penguin,1.45,[1 2.8 1 1]
cormorant~seagull,4.05,[2.2 5.4 4.9 3.7]
cougar~hyena,2.825,[1 6.2 1.9 2.2]
cow~zebra,2.7,[1 4.2 4.6 1]
coyote~anteater,2.05,[1 2.9 3.3 1]
deer~dingo,3.275,[5 1 4.4 2.7]
deer~mountain_goat,3.35,[1 5.1 5.2 2.1]
deer~wallaby,2.2,[1.8 2 2.5 2.5]
doe~monkey,1.55,[1 1.8 2.4 1]
donkey~wildebeest,2.2,[1 3.8 1 3]
donkey~yak,3.475,[5 2 5 1.9]
dromedary~zebra,1.75,[1 2.3 1 2.7]
duck~heron,4.85,[2.3 5 5.1 7]
eagle~mallard_duck,3.4,[3.2 3.8 3 3.6]
eagle~osprey,5.775,[2.1 7 7 7]
eland~giraffe,2.35,[1.7 1 3.1 3.6]
elephant~gnu,1.775,[1.3 1.7 2 2.1]
elephant~meerkat,1.25,[2 1 1 1]
elk~caribou,5.725,[4.3 5.6 7 6]
emu~polar_bear,1.425,[1.5 1 1.9 1.3]
ermine~mink,4.575,[3.5 6 2.7 6.1]
ewe~sheep,7,[7 7 7 7]
ferret~turtle,1.1,[1.4 1 1 1]
finch~blue_jay,4.8,[5 6.2 4.7 3.3]
finch~wren,5.975,[6.1 4.6 6.2 7]
fowl~cow,1.05,[1.2 1 1 1]
frog~hedgehog,1,[1 1 1 1]
frog~swan,1.35,[1 1.1 2.3 1]
gecko~snake,2.2,[1.4 3.1 3.3 1]
gerbil~chinchilla,5.65,[5.3 6 5 6.3]
gerbil~raccoon,2.875,[1.1 4.4 4.7 1.3]
gerbil~sugar_glider,4.425,[6.8 1 5.1 4.8]
gibbon~panda,2.55,[4.6 2 1 2.6]
gila_monster~bird,1.375,[1 1 2.3 1.2]
giraffe~bear,1.425,[1 1.5 2.2 1]
gnat~ladybug,4.75,[6.3 4.1 5.6 3]
goat~heron,1.275,[1 1 1.2 1.9]
goat~shrew,2.075,[1.7 2.4 3.2 1]
goldfish~deer,1.05,[1 1.2 1 1]
goose~mallard_duck,6.275,[6 6.1 6.9 6.1]
goose~mole,1.625,[1.2 1.2 1.8 2.3]
goose~tyrannosaurus_rex,1.025,[1 1 1.1 1]
gopher~mosquito,1.475,[2.1 1 1 1.8]
gorilla~gibbon,4.025,[5.9 2 2.3 5.9]
gorilla~ocelot,2.4,[1 1 5.7 1.9]
grizzly_bear~kodiak_bear,6.725,[6 7 7 6.9]
grouse~bluebird,5.775,[5.4 5.1 6.4 6.2]
grouse~turkey,5.4,[5.5 3 6.7 6.4]
guinea_pig~snake,1.025,[1 1.1 1 1]
halibut~raccoon,1,[1 1 1 1]
hamster~rat,4.875,[2.2 5.1 6.1 6.1]
hedgehog~albatross,1.55,[2.9 1.3 1 1]
hedgehog~duck,1.125,[1.4 1 1.1 1]
hedgehog~tasmanian_devil,3.075,[1.3 3.7 3.7 3.6]
hermit_crab~leopard_ray,2.2,[2.5 2.1 1 3.2]
heron~seagull,6.025,[6.6 5.3 7 5.2]
hippopotamus~parrot,1.175,[1 1.3 1.4 1]
horse~ass,5.775,[7 6.1 7 3]
horse~buffalo,2.85,[1 4.4 5 1]
horse~gazelle,2.425,[1.3 2.8 3 2.6]
husky~cat,3.1,[4.6 4.5 2.3 1]
hyena~buffalo,1.25,[1 2 1 1]
hyena~impala,2.575,[5 1 3.3 1]
hyena~rabbit,1.925,[1 1.8 1.2 3.7]
iguana~alligator,4.225,[2.3 4.4 5.2 5]
jackal~leopard,4.4,[3.7 5.5 3.4 5]
jaguar~snake,1.025,[1 1.1 1 1]
kangaroo~chinchilla,1.625,[1.6 2 1.9 1]
kangaroo~wildebeest,1.6,[2.4 2 1 1]
komodo_dragon~frog,3.175,[1 4.4 2.6 4.7]
kudu~lion,2.2,[2.8 2.7 1 2.3]
lemming~weasel,3.8,[4.9 4.3 1 5]
lemur~kangaroo,1.25,[1 2 1 1]
lemur~monkey,5.125,[6.6 1.3 6.5 6.1]
leopard~ocelot,4.2,[5 2.3 6.4 3.1]
lion~ocelot,5,[5.7 3 5.5 5.8]
lion~polecat,4.825,[2.9 4.6 6 5.8]
lizard~gila_monster,6.1,[6 4.9 6.5 7]
lizard~komodo_dragon,4.925,[7 6.5 1 5.2]
lynx~giraffe,2.7,[2.1 5.5 1 2.2]
lynx~jack_rabbit,2.025,[2.9 1.2 1 3]
lynx~mountain_lion,5.875,[5.9 5.2 5.8 6.6]
lynx~mouse,1.075,[1 1.2 1 1.1]
lynx~ocelot,6.25,[6.5 7 5.5 6]
mallard_duck~bear,1.175,[1.1 1 1.1 1.5]
mallard_duck~cat,1.75,[1.3 1.7 2.1 1.9]
mammoth~coral,1.325,[2.2 1 1 1.1]
meerkat~lion,2.3,[3.6 1.9 2.7 1]
mink~dog,2.55,[4.7 2.5 1 2]
mongoose~lion,3.125,[2.6 5.2 3.7 1]
mongoose~meerkat,4.8,[6.1 6.2 4 2.9]
mouse~grouse,1.4,[1.4 1 1 2.2]
mouse~polar_bear,1.6,[1 1.7 2.7 1]
mouse~vole,5.025,[1.9 6.6 6 5.6]
muskrat~beaver,3.575,[2.4 3 4.8 4.1]
muskrat~monkey,2.9,[3.7 1 1 5.9]
muskrat~opossum,4.45,[2.4 4.6 5.8 5]
nurse_shark~great_white_shark,6.725,[6.4 7 6.9 6.6]
nutria~mole,3.675,[5.7 2 6 1]
ocelot~amoeba,1.55,[3.1 1.1 1 1]
ocelot~boar,2.7,[2.9 1.9 3 3]
ocelot~cheetah,4,[2 7 1.9 5.1]
ocelot~cougar,4.225,[4.8 5 2.1 5]
ocelot~lemur,3.1,[2.5 6 2.6 1.3]
ocelot~panther,5.975,[6 6 6 5.9]
onyx~leopard,4.425,[6 5.8 2.9 3]
opossum~ocelot,1.8,[3.3 1.9 1 1]
opossum~woodchuck,3.725,[3.7 4.9 5.3 1]
orangutan~porcupine,1.3,[1.4 1.8 1 1]
orangutan~spider,1.025,[1 1.1 1 1]
oriole~horse,1.075,[1 1.3 1 1]
osprey~robin,5.625,[4 6.7 5 6.8]
ostrich~degu,2.075,[3 3.3 1 1]
panda~salamander,1.325,[1 1.8 1.5 1]
panda~wallaby,1.475,[1 1 1.6 2.3]
panther~sable,4.775,[5.1 3.2 5 5.8]
parrot~lemur,1.325,[1.3 1.3 1 1.7]
penguin~beaver,1.675,[1 2.5 2.2 1]
peregrine_falcon~hawk,6.45,[7 6.8 5 7]
pheasant~bird,6.55,[7 5.4 7 6.8]
pig~burro,1.35,[1 1.4 1 2]
pig~chinchilla,1.525,[1 2.7 1.4 1]
pilot_fish~mola_molas,3.4,[4.1 2.1 3.7 3.7]
plankton~grouper,1.175,[1 1 1 1.7]
pony~bull,2.325,[1.5 3.1 3.7 1]
pony~lizard,1.2,[1 1.8 1 1]
pony~mink,2.175,[1.9 2.2 2.6 2]
possum~opossum,5.725,[7 7 1.9 7]
prairie_dog~mongoose,4,[2.1 5.5 4.5 3.9]
puffin~moose,1.175,[1.5 1.2 1 1]
puffin~sparrow,3.375,[3.1 2.4 7 1]
puma~ocelot,5.775,[6 6 6 5.1]
quail~mallard_duck,6.075,[6.8 6.1 6.8 4.6]
quail~zebra,1.65,[1.4 1.5 1.4 2.3]
rabbit~mackerel,1.075,[1.3 1 1 1]
rabbit~raccoon,5.35,[5.7 5.5 4.8 5.4]
rabbit~wildebeest,1.7,[1.7 2.2 1 1.9]
raccoon~mink,4.075,[5 5.6 1.6 4.1]
raccoon~raccoon,5.6,[2.4 7 6.6 6.4]
rat~chinchilla,3.175,[5.4 1.4 4.9 1]
rat~marmot,3.05,[1.3 5.5 2.9 2.5]
ray~pilot_fish,4.225,[5.7 3.2 6.1 1.9]
reindeer~coyote,2.325,[1 3 4.3 1]
robin~oriole,5.825,[4.9 6 6 6.4]
rockfish~flounder,3.6,[1.9 5.6 2.2 4.7]
salmon~sturgeon,4.875,[5.6 5.2 2.8 5.9]
scorpion~scallop,1.525,[2.5 1.6 1 1]
sea_elephant~otter,2.825,[1.6 5.1 1 3.6]
sea_lion~sea_elephant,3.15,[5.6 1 5 1]
seagull~blue_herons,3.65,[1.5 4.8 3.3 5]
seahorse~horse,1.325,[1 1.8 1.5 1]
shark~walleye,2.425,[1 2 1 5.7]
skunk~wolf,2.4,[1 3.1 4.5 1]
sloth~giraffe,1.175,[1.7 1 1 1]
sloth~tasmanian_devil,2.2,[2.6 1 2.2 3]
slug~walleye,1.4,[2.2 1 1.4 1]
smelt~flying_fish,6.025,[3.1 7 7 7]
snake~hamster,1.25,[1 1.4 1.6 1]
snake~muskrat,1.4,[2.4 1 1 1.2]
sparrow~chickadee,3.925,[4.5 2.8 1.9 6.5]
sparrow~meadowlark,6.85,[7 7 6.9 6.5]
sparrow~swallow,6.6,[6.1 6.3 7 7]
spider~copperhead_snake,1.1,[1 1 1 1.4]
stink_bug~pony,1,[1 1 1 1]
sturgeon~squirrel,1.225,[1 1.9 1 1]
sturgeon~trout,6.425,[6.1 7 6.7 5.9]
sugar_glider~lemur,6.2,[4.5 7 6.7 6.6]
sunfish~bluegill,5.35,[6 6.6 5.6 3.2]
swallow~marten,4.95,[1.3 6.8 5.9 5.8]
tapir~panda,2.225,[1.8 5.1 1 1]
tasmanian_devil~horse,1.475,[2.5 1.4 1 1]
terrier~dalmatian,6.15,[6.5 5.6 6.1 6.4]
tiger~dragon,1.85,[2.3 1 2.5 1.6]
